2026-03-12T11:58:14 | usuarios=300 | duracion_s=2.1817 | exitosas=300 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T12:05:35 | usuarios=300 | duracion_s=2.3117 | exitosas=300 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T12:10:59 | usuarios=300 | duracion_s=3.0673 | exitosas=300 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T12:12:46 | usuarios=300 | duracion_s=2.5010 | exitosas=300 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T12:13:21 | usuarios=300 | duracion_s=2.6267 | exitosas=300 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T12:13:38 | usuarios=300 | duracion_s=2.6566 | exitosas=300 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T12:13:46 | usuarios=300 | duracion_s=3.5528 | exitosas=300 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T12:14:04 | usuarios=300 | duracion_s=2.6702 | exitosas=300 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T12:14:23 | usuarios=300 | duracion_s=2.5253 | exitosas=300 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T13:22:26 | usuarios=300 | duracion_s=3.6543 | exitosas=300 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T13:22:29 | usuarios=400 | duracion_s=3.4453 | exitosas=400 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T13:22:33 | usuarios=500 | duracion_s=3.3663 | exitosas=500 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T13:22:37 | usuarios=600 | duracion_s=3.8299 | exitosas=600 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T13:22:41 | usuarios=700 | duracion_s=4.1435 | exitosas=700 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T13:22:46 | usuarios=800 | duracion_s=5.0112 | exitosas=800 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T13:22:51 | usuarios=900 | duracion_s=5.2184 | exitosas=900 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
2026-03-12T13:22:57 | usuarios=1000 | duracion_s=6.1522 | exitosas=1000 | fallidas=0 | tls=version=TLSv1.3 cipher=('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)
